Date,Location,Restrictions
1/1/2023,India,Negative COVID Test
1/5/2023,United States of America,Negative COVID Test
1/5/2023,France,Negative COVID Test
1/5/2023,Canada,Negative COVID Test
12/30/2022,Japan,Negative COVID Test
1/1/2023,Russia,Border Closure
1/5/2023,Australia,Entry/Exit Ban
1/5/2023,Israel,Entry/Exit Ban
12/28/2022,Italy,Flight Suspension
1/3/2023,United Arab Emirates,Negative COVID Test
1/3/2023,Morocco,Entry/Exit Ban
12/30/2022,Malaysia,Negative COVID Test
1/5/2023,South Korea,Negative COVID Test
12/31/2022,Spain,Negative COVID Test
1/1/2023,Taiwan,Negative COVID Test
